abalone 5 7 Global 4174 207,6 31,454 68,546 16,483 16,4948 83,5052 0,0718735 0,0256698 0,008566 0,0061669 0 0 0
banana 5 2 Global 5300 19,6 77,0755 22,9245 79,434 79,449 20,551 0,0188679 0,018242 0,0037704 0,000943 0 0 0
bupa 5 6 Global 345 120,8 76,876 23,124 57,971 60,0601 39,9399 3,47826 0,0019185 0,0004299 0,0002239 0 0 0
flare 5 0 Global 1066 270,2 85,5743 14,4257 61,257 80,8168 19,1832 24,2026 0,0068397 0,0011531 0,0005507 0 0 0
heart 5 5 Global 270 235,8 100 0 22,5926 89,7059 10,2941 74,8148 0,0019491 0,0004596 0,0003088 0 0 0
iris 5 4 Global 150 41,8 95,5556 4,44444 95,3333 95,3333 4,66667 0 0,0006 0,0001295 4,6e-05 0 0 0
led7digit 5 7 Global 500 81,9 79,8444 20,1556 63 76,087 23,913 17,2 0,0022326 0,0004253 0,000167 0 0 0
mammographic 5 1 Global 830 160,1 87,5636 12,4364 76,0241 82,376 17,624 7,71084 0,0032827 0,0006588 0,0002195 0 0 0
newthyroid 5 5 Global 215 47 95,3488 4,65116 93,4884 94,3662 5,6338 0,930233 0,0009355 0,0001924 7,56e-05 0 0 0
page-blocks 5 10 Global 5472 163,8 93,8475 6,15253 93,7317 93,9205 6,07947 0,201023 0,0335774 0,0063071 0,0034489 0 0 0
phoneme 5 5 Global 5404 228,1 82,3053 17,6947 80,866 80,866 19,134 0 0,0266391 0,0058952 0,002622 0 0 0
pima 5 8 Global 768 426,6 90,9144 9,08565 68,3594 70,5645 29,4355 3,125 0,0056852 0,0014273 0,0009037 0 0 0
saheart 5 8 Global 462 354,3 96,9456 3,05435 61,039 65,127 34,873 6,27706 0,0033206 0,0009639 0,0006936 0 0 0
shuttle 5 9 Global 57999 73,9 91,5932 8,40685 92,4275 92,4386 7,56139 0,0120692 0,367792 0,0884514 0,0564225 0 0 0
adult 5 6 Global 45222 19794,9 90,1452 9,85484 63,3497 80,4968 19,5032 21,3016 0,440255 0,0805062 0,054208 0 0 0
australian 5 7 Global 690 499,6 97,0692 2,93076 54,6377 81,9565 18,0435 33,3333 0,0055292 0,0013196 0,0008983 0 0 0
crx 5 6 Global 653 522,8 98,5877 1,41229 39,0505 85,2843 14,7157 54,2113 0,0056172 0,0011826 0,0008098 0 0 0
balance 5 4 Global 625 562,5 100 0 0 0 100 100 0,0028485 0,0004994 0,0001489 0 0 0
census 5 9 Global 142521 80972,6 99,2946 0,705393 48,0869 96,3151 3,68486 50,0733 4,42515 0,663856 0,595497 0 0 0
coil2000 5 2 Global 9822 7533,8 98,8224 1,17763 24,5978 91,7585 8,24155 73,1928 0,658998 0,0802064 0,0738565 0 0 0
connect-4 5 0 Global 67557 60801,3 100 0 0 0 100 100 1,57395 0,216646 0,17563 0 0 0
covtype_2_vs_1 5 10 Global 495141 23371,4 85,2458 14,7542 85,8976 85,9014 14,0986 0,00444318 15,9826 2,51237 2,41091 0 0 0
fars_0_vs_4_ 5 5 Global 62123 39933,6 100 0 44,8497 100 0 55,1503 1,49655 0,208837 0,168961 0 0 0
german 5 3 Global 1000 898,4 100 0 0,6 100 0 99,4 0,0110187 0,0018913 0,0013074 0 0 0
magic 5 10 Global 19020 1911,8 84,0682 15,9318 81,7087 81,7689 18,2311 0,0736067 0,122692 0,0355895 0,0250897 0 0 0
thyroid 5 6 Global 7200 944,1 94,2639 5,73611 92,0556 93,2995 6,70045 1,33333 0,0710825 0,0124964 0,0086399 0 0 0
vehicle 5 18 Global 846 712,3 98,6866 1,31337 52,0095 63,2184 36,7816 17,7305 0,010069 0,0177231 0,0172164 0 0 0
vowel 5 11 Global 990 649,5 98,7654 1,23457 92,2222 92,6904 7,30964 0,505051 0,0084843 0,0028437 0,0022819 0 0 0
segment 5 19 Global 2310 888,5 95,8297 4,17027 90,8658 93,7054 6,29464 3,0303 0,0267173 0,0169532 0,0155656 0 0 0
winequality-red 5 11 Global 1599 771,7 84,4625 15,5375 56,1601 56,9797 43,0203 1,4384 0,012123 0,0053566 0,0044466 0 0 0
winequality-white 5 11 Global 4898 1086,7 66,83 33,17 50,2042 50,3069 49,6931 0,204165 0,037027 0,0146437 0,0119287 0 0 0
spambase 5 57 Global 4597 1380,4 87,0785 12,9215 81,1616 85,3385 14,6615 4,8945 0,166647 0,0447686 0,0417882 0 0 0
penbased 5 16 Global 10992 7738,5 99,8797 0,12029 93,9865 98,9275 1,07249 4,99454 0,116737 0,0713002 0,0650723 0 0 0
ring 5 20 Global 7400 5060,8 99,3679 0,632132 54,4459 78,9381 21,0619 31,027 0,0917307 0,165782 0,161485 0 0 0
twonorm 5 20 Global 7400 6654,4 99,988 0,012012 34,3649 91,2451 8,75493 62,3378 0,0944261 0,254377 0,249839 0 0 0
satimage 5 36 Global 6435 2148,1 78,6895 21,3105 64,7863 65,161 34,839 0,574981 0,162357 0,183056 0,179103 0 0 0
texture 5 40 Global 5500 3697,4 97,6424 2,35758 87,7091 93,579 6,42095 6,27273 0,165187 0,197224 0,193435 0 0 0
letter 5 16 Global 20000 7586,9 88,4011 11,5989 77,505 77,6954 22,3046 0,245 0,217383 0,155178 0,143295 0 0 0
